Class,Precision,Recall,F1-Score,Support
Acne,0.0,0.0,0.0,0
Actinic keratoses,0.04854368932038835,0.10703363914373089,0.06679389312977099,327
Basal cell carcinoma,0.06188118811881188,0.09727626459143969,0.07564296520423601,514
Benign keratosis-like lesions,0.05291005291005291,0.018198362147406732,0.027081922816519974,1099
Dermatofibroma,0.02040816326530612,0.05217391304347826,0.029339853300733496,115
Melanoma,0.03571428571428571,0.00044742729306487697,0.0008837825894829872,6705
Melanocytic nevi,0.0,0.0,0.0,1113
Vascular lesions,0.0,0.0,0.0,142
